seq,durasi_ms,panjang,valid,kanal_aktif,data
1,770.89,125,1,7,00000000000000000000000000000000000000000000000000001101110000000000110000000000000000000000000000000000000000000000000000000
2,770.87,125,1,7,00100000001000010000000000001000000000000000000000000000001001100000000000000000000000000000000000000000000000000000000000000
3,770.82,125,1,7,00000000000000001000000000100000000000000000000000000000001000001001100000000000010000000000000000000000000000000000000000000
4,770.84,125,1,5,00000000000000000000000000000000000000000000000000000010010000000000101100000000000000000000000000000000000000000000000000000
5,770.83,125,1,7,00001000000110000000000001000000000000000000000000000000000010011000000000000000000000000000000000000000000000000000000000000
6,770.83,125,1,7,00000000000000000000000000000000000000000000000000000101000110000010011000000000000000000000000000000000000000000000000000000
7,770.82,125,1,17,00000001000000000000000000000000000000000000000000011111111111110111000000000000000000000000000000000000000000000000000000000
8,770.84,125,1,8,00000000000001000000000000000000000000000000000000000000000000101111110000000000000000000000000000000000000000000000000000000
9,770.83,125,1,3,00000000000000000000000000000000000000000000000000000001000000000000100100000000000000000000000000000000000000000000000000000
10,770.83,125,1,5,00000000010000000000000000000000000000000000000000000000011001000000000000000000001000000000000000000000000000000000000000000
11,770.82,125,1,6,00100000000000010000000010100000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000
12,770.84,125,1,4,00000000000000000000000000000000000000000000000000000100110000000000001000000000000000000000000000000000000000000000000000000
13,770.83,125,1,4,00000000000100000000000000000000000000000000000000000000000110010000000000000000000000000000000000000000000000000000000000000
14,770.83,125,1,8,01000000000000000100000010000000000000000000000000001100000000000110010000000000000000000000000000000000000000000000000000000
15,770.82,125,1,7,00010001000000000000000000011000000000000000000000000001001100000000000000000000000000000000000000000000000000000000000000000
16,770.84,125,1,5,00000000000001000000000000000000000000000000000000000000000001001100000000000000010000000000000000000000000000000000000000000
17,770.83,125,1,4,00000000000000000000000000000000000000000000000000000010000000000001100100000000000000000000000000000000000000000000000000000
18,770.83,125,1,6,00000000110000000000000000000000000000000000000000000000010011000000000000000001000000000000000000000000000000000000000000000
19,770.82,125,1,18,00000000000000010000000000000000000000000000000000001111110111111111000110000000000000000000000000000000000000000000000000000
20,770.84,125,1,6,00101000000000000000000000000000000000000000000000000100100000000000011000000000000000000000000000000000000000000000000000000
21,770.83,125,1,5,00100000001100000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000
22,770.83,125,1,6,00000000000000001100000000000000000000000000000000001000000000000100110000000000000000000000000000000000000000000000000000000
23,770.82,125,1,5,00000010000000000000000000000000000000000000000000000011001000000000000100000000000000000000000000000000000000000000000000000
24,770.84,125,1,4,00000000000010000000000000000000000000000000000000000000100001001000000000000000000000000000000000000000000000000000000000000
25,770.83,125,1,7,00000000000000000010000000000000000000000000000000000110000100000001001100000000000000000000000000000000000000000000000000000
26,770.83,125,1,7,00001000100000000000000100000000000000000000000000000000110010000000000010000000000000000000000000000000000000000000000000000
27,770.82,125,1,8,00110000000000100000000000000000000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000
28,770.84,125,1,5,00000000000000000000000000000000000000000000000000001001100000000000010000000000001000000000000000000000000000000000000000000
29,770.83,125,1,8,00000000001000000000000001100000000000000000000000000100011001100000000000000000000000000000000000000000000000000000000000000
30,770.83,125,1,4,00000000000000001000000000000000000000000000000000000000000000001100100000000000000000000000000000000000000000000000000000000
31,770.82,125,1,6,00000010000000000000000000000000000000000000000000000010011000000000001100000000000000000000000000000000000000000000000000000
32,770.84,125,1,7,00100000000010000000000000000000000000000000000000000000000011011000001000000000000000000000000000000000000000000000000000000
33,770.83,125,1,7,00010000000000000010000000010000000000000000000000000100000000000011001000000000000000000000000000000000000000000000000000000
34,770.83,125,1,4,00000001100000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000
35,770.82,125,1,5,00000000000001100000000000000000000000000000000000000000000000100110000000000000000000000000000000000000000000000000000000000
36,770.84,125,1,7,00000100000000000000000000010000000000000000000000001001010000000000100100000000000000000000000000000000000000000000000000000
37,770.83,125,1,4,00000000010000000000000000000000000000000000000000000000001001000000000000000000100000000000000000000000000000000000000000000
38,770.83,125,1,4,00000000000000011000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000
39,770.82,125,1,6,00010000000000000000000000000000000000000000000000000110010000000000011000000000000000000000000000000000000000000000000000000
40,770.84,125,1,5,00000000000100000000000000000000000000000000000000000000000110010000000000000000010000000000000000000000000000000000000000000
41,770.83,125,1,5,00000000000000000100000000000000000000000000000000001100000000000010010000000000000000000000000000000000000000000000000000000
42,770.83,125,1,5,00000001000000000000000000010000000000000000000000000001001100000000000000000000000000000000000000000000000000000000000000000
43,770.82,125,1,5,00000000000001000000000000000000000000000000000000000000000001100100000000000001000000000000000000000000000000000000000000000
44,770.84,125,1,6,00000000000000000000000000000000000000000000000000000011000000000001100110000000000000000000000000000000000000000000000000000
45,770.83,125,1,7,00010000010000000000000000001000000000000000000000000000010011010000000000000000000000000000000000000000000000000000000000000
46,770.83,125,1,7,00000000000000010001000000000100000000000000000000000000000000011001000000000000100000000000000000000000000000000000000000000
47,770.82,125,1,7,00000100000000000000000000000000000000000000000000000100100000000011011000000000000000000000000000000000000000000000000000000
48,770.84,125,1,7,00000100001100000000000001000000000000000000000000000000000100110000000000000000000000000000000000000000000000000000000000000
49,770.83,125,1,6,00010000000000000100000000000000000000000000000000001000000000000100110000000000000000000000000000000000000000000000000000000
50,770.83,125,1,4,00000010000000000000000000000000000000000000000000000001001000000000000100000000000000000000000000000000000000000000000000000
51,770.82,125,1,5,00000000000011000000000001000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000
52,770.84,125,1,6,00000000000000000010000000000000000000000000000000000010000000000001001100000100000000000000000000000000000000000000000000000
53,770.83,125,1,6,00000000100000000000110000000000000000000000000000000000110010000000000000000000000000000000000000000000000000000000000000000
54,770.83,125,1,4,00100000000000100000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000
55,770.82,125,1,4,00000000000000000000000000000000000000000000000000001000100000000000010010000000000000000000000000000000000000000000000000000
56,770.84,125,1,4,00000000001000000000000000000000000000000000000000000000001100100000000000000000000000000000000000000000000000000000000000000
57,770.83,125,1,6,00000000000000001000000100000000000000000000000000001000000000001100100000000000000000000000000000000000000000000000000000000
58,770.83,125,1,9,00100010000000000000000000000000000000000000000000000010111000000001100100000000000000000000000000000000000000000000000000000
59,770.82,125,1,6,00000000000010000000000000100000000000000000000000000000100010001000000000000000100000000000000000000000000000000000000000000
60,770.84,125,1,15,00000000000000000010000000100000000000000000000000000100010111111111101000000000000000000000000000000000000000000000000000000
61,770.83,125,1,9,00010001100000000000000000000000000000000000000000000000100110000001100000000001000000000000000000000000000000000000000000000
62,770.83,125,1,4,00000000000000100000000000000000000000000000000000000000000000100110000000000000000000000000000000000000000000000000000000000
63,770.82,125,1,6,00000000000000000000000000000000000010000100000000001001000000000000110000000000000000000000000000000000000000000000000000000
64,770.84,125,1,9,00100000011000000000000010010000000000000000000000001000001001000000001000000000000000000000000000000000000000000000000000000
65,770.83,125,1,7,00000000000000001000000000000000000000000000000000000000000110001001100000000001000000000000000000000000000000000000000000000
66,770.83,125,1,6,00000000000000000000000001100000000000000000000000000110010000000000001000000000000000000000000000000000000000000000000000000
67,770.82,125,1,4,00010000000100000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000
